berita;tagging
"Jakarta, Di jejaring sosial, banyak beredar informasi yang menyebut lele sebagai
ikan paling jorok. Dalam sesuap daging ikan lele, terkandung 3000 sel kanker. Benarkah?
Julukan sebagai ikan paling jorok merujuk pada sifat lele yang doyan mengonsumsi
segala jenis limbah di perairan. Bahkan sebuah artikel yang cukup viral di internet
menyebutkan kotoran manusia juga dijadikan pakan pada sebuah budidaya lele di Kota Haikou, China.
Sementara itu di habitat aslinya, lele atau catfish juga dikenal sebagai spesies ikan yang
sangat tangguh. Ikan ini dilengkapi alat pernapasan tambahan berupa labirin,
sehingga mampu bertahan hidup dalam kondisi perairan berlumpur atau bahkan tercemar.
Agaknya, fakta inilah yang memunculkan dugaan soal akumulasi racun karsinogen (penyebab kanker) di tubuh ikan lele.
Untungnya, ikan lele yang beredar di pasaran bukan berasal dari alam liar.
Lele banyak dibudidayakan di kolam-kolam, yang mestinya bisa dikendalikan agar bebas dari pencemaran.
Pakan yang diberikan juga bisa dipilih, tidak harus mengandalkan limbah.
Yang pasti, popularitas ikan bersungut ini tidak pernah pudar, bahkan terus meningkat. Data Kementerian Kelautan dan Perikanan (KKP) menyebut produksi lele pada 2013 mencapai 543,461 ton, meningkat dari 441,217 ton pada 2012 dan 337,577 ton pada 2011.
Konsumsi ikan lele menurut Badan Pusat Statistik (BPS) tercatat 29,98 kg / kapita / tahun, naik dari 22,58 kg / kapita / tahun pada 2004. Di Jakarta, tak kurang dari 6000 lapak pecel lele telah terdaftar di Asosiasi Pedagang Kaki Lima Indonesia (APKLI).
Soal kandungan nutrisi, tak bisa dipungkiri bahwa lele adalah sumber protein berharga yang murah meriah. Fakta bahwa ikan lele juga rendah kolesterol sepertinya bakal menenggelamkan tudingan bahwa lele bisa memicu kanker. ""Saat ini belum ada penelitian yang menyatakan jika memakan lele dapat memicu kanker,"" tegas dr Dradjat R Suardi, SpB(K)Onk, ahli kanker dari Perhimpunan Onkologi Indonesia saat dihubungi detikHealth, Jumat (23/10/2015).";Valid
Isu bahwa ikan lele mengandung sel kanker di jejaring social dan berita dari mulut ke mulut terus menyebar. Dampak dari isu tersebut para ibu ibu enggan membeli ikan lele. Waspada Online berhasil merangkum komentar ibu-ibu yang biasanya membeli ikan lele untuk konsumsi rutin sebagai lauk. Beredarnya informasi yang menyebutkan lele mengandung sela kanker dipisu karena kehidupan ikan lele yang bisa hidup di tempat yang sangat jorok sekalipun. Julukan sebagai ikan paling jorok merujuk pada sifat lele yang doyan mengonsumsi berbagai jenis limbah di perairan. Bahkan sebuah artikel yang cukup vital di internet menyebutkan kotoran manusia juga dijadikan pakan pada sebuah budidaya lele di Kota Haikou, Tiongkok. Berdasar isu tersebut, dalam sesuap daging ikan lele, terkandung 3000 sel kanker. Isu itu cepat berkembang di media sosial dan mulut ke mulut. Namun isu itu justru tak menyurutkan penjualan ikan lele di Medan dan masih stabil dan tidak berpengaruh. Pengakuan sejumlah pedagang di Medan dan petani ikan lele di Medan sekitarnya, tidak ada pengaruh isu terhadap konsumsi dan penjualan ikan lele. Seperti yang diakui Br Manalu pedagang ikan lele di Pasar Sukaramai Medan. Menurutnya penjualan ikan lele tetap stabil dan tidak terkena dampaknya, terkait pemberitaan tersebut pun banyak masyarakat yang masih mengkonsumsi ikan lele. Penjualan lele tetap normal dan harga lele juga masih stabil Rp. 18000 perkilonya, dan sangat disayangkan dengan kabar yang katanya lele mengandung sel kanker, jelas ini membuat pembudi daya lele tersinggung dan kami pun sebagai pedagang jelas akan kesulitan untuk mencari pasokan ikan lele,” terangnya, Senin (16/11). Seorang petani ikan lele di kawasan Medan Marelan, Pujiono mengaku, tidak mempengaruhi permintaan ikan lele dari kolam miliknya. Bahkan panen ikan belakangan ini tidak mampu memenuhi pasar yang mayoritas di kirim ke Aceh dan pasar Medan. Terkait ikan lele mengandung sel kanker, Pakar Gizi Masyarakat dan Guru Besar Pangan dan Gizi Institut Pertanian Bogor (IPB), Prof Dr Ir Ali Khemsan MS, saat di konfirmasi melalui selular, Senin (16/11) membantah isu tersebut. Dia sangat menyayangkan dengan pemberitaan tentang bakteri sel kanker yang terkandung di ikan lele. “Berita itu menurut saya tidak benar, malah ini membuat para pembudidaya ikan lele merasa tersinggung dan terpukul, karena dari situ mereka bisa memenuhi kebutuhan hidup,” jelasnya. Justru dikatakannya, pemicu sel kanker adalah minyak goreng penggoreng ikan lele. “Justru yang membuat dan menimbulkan sel kanker itu pada masyarakat yang menggoreng sesuatu atau bahkan ikanlele sendiri untuk dijual dengan menggunakan minyak jelantah (minyak bekas), itu yang bisa memicu kanker. Oleh karena itu, diharapkan kepada seluruh masyarakat untuk lebih berhati hati ketika membeli makanan yang di goreng dengan menggunakan minyak,” pungkasnya ;Valid
Bagi penikmat kuliner dengan bahan dasar ikan lele, berita ini sungguh sangat menyedihkan, bagaimana tidak, ikan yang selama ini sangat enak ini dianggap sebagai sumber penyakit . Beberapa informasi yang kami peroleh dari masyarakat menyatakan kalau ikan lele mengandung 3000 sel kanker . Ikan lele mempunyai kemampuan hidup yang cukup tinggi, ia dilengkapi dengan alat pernafasan tambahan yang disebut dengan labirin , sehingga kemampuan untuk hidup melebihi ikan ikan lainnya . Ikan lele hidupnya di tempat yang kotor , berlumpur dan Jorok , ikan lele juga memakan limbah dan kotoran , sehingga opini masyarakat mengatakan bahwa lele menyebabkan penyakit kanker . Namun untuk saat ini budidaya lele sudah tidak dilakukan di tempat yang kotor dan jorok lagi, kini budi daya lele sudah dilakukan di kolam yang bersih , kolam sintetis dengan air yang bersih , serta pasokan makanan untuk lele juga lebih terjamin. Jika dilihat dari cara masaknya / cara mengolahnya, ikan lele akan terasa lebih nikmat jika digoreng , namun kebanyakan orang si penjual lele menggunakan minyak jelantah untuk menggoreng ikan lele , mereka menggunakan minyak goreng secara berulang-ulang . Minyak goreng yang digunakan secara berulang ulang hingga warnanya hitam pekat akan menyebabkan penyakit kanker . Oleh karena itu sebenarnya bukan hanya ikan lele saja yang menyebabkan kanker ,makanan apapun jika di goreng dengan menggunakan minyak jelantah akan menyebabkan sel kanker dalam tubuh manusia . Jadi kesimpulannya : yang beranggapan bahwa lele mengandung sel kanker itu adalah tidak benar,ikan lele tidak menyebabkan sel kanker , namun cara mengolahnya yang menggunakan minyak jelantah itulah yang menyebabkan sel kanker dalam tubuh manusia;Valid
Ikan lele merupakan salah satu makanan favorit di Indonesia. Selain harganya murah, rasanya juga sangat enak. Meski demikian, ada sebagian masyarakat yang takut menikmati masakan dari ikan air tawar tersebut. Mereka beranggapan jika ikan lele penyebab kanker dan penyakit lainnya. Namun apakah anggapan yang menyatakan lele mengandung kanker tersebut benar?. Berikut ini penjelasannya. Habitat dan Kehidupan Ikan Lele Di alam kehidupannya yang asli, ikan lele adalah spesies yang terkenal dengan ketangguhan dan daya tahannya. Binatang ini memiliki alat pernafasan tambahan yang dinamakan labirin. Dengan adanya labirin di tubuhnya, ikan lele dapat hidup di segala macam kondisi. Bahkan di perairan keruh dan tercemar sekalipun lele masih bisa bertahan. Ikan lele memang merupakan hewan yang sangat mudah beradaptasi serta cepat berkembang biak. Dibanding jenis lainnya, lele juga termasuk ikan yang tingkat perkembangan tubuhnya tergolong pesat. Hanya dalam hitungan puluhan hari saja ukuran dan berat tubuhnya bisa naik beberapa kali lipat. Selain itu, ikan lele juga bisa mengkonsumsi jenis makanan apa saja. Bahkan saat lapar hewan bersungut ini juga mau memakan kotoran binatang lain, termasuk limbah yang mengandung racun berbahaya. Oleh karena itu, tidak mengherankan jika binatang yang dalam bahasa Inggris dinamakan dengan sebutan catfish ini sering dipandang sebagai ikan terjorok berdasarkan karakter maupun pola hidupnya. Hal inilah yang kemudian memunculkan penafsiran bila ikan lele penyebab kanker atau dengan kata lain lele mengandung kanker. Hasil Penelitian Membuktikan Pada sisi yang lain sebagaimana yang dilaporkan, bila dipakai secara sembarangan antibiotik akan menimbulkan kekebalan kuman atau resistensi. Di Amerika, kasus ini terus mengalami peningkatan karena antibiotik sering ditemukan pada ikan hasil budidaya. Menurut hasil penelitian yang dilakukan Arizona State University, salah satu jenis ikan hasil budidaya yang memiliki kandungan antibiotik tingkat tinggi adalah ikan lele yang seringkali dibeli dan dikonsumsi oleh masyarakat. Apabila antibiotik makin sering dikonsumsi, akibatnya adalah bakteri yang menyerang tubuh manusia makin bertambah kuat. Bakteri, virus, parasit, dan jamur mampu menahan antibiotik sehingga sistem pengobatan tidak akan mampu menyembuhkan serangan penyakit. Perbedaan Budidaya Ikan Lele di Indonesia dan Negara Lain Sementara itu, di Indonesia sendiri para peternak sering mengembangbiakan serta membesarkan ikan lele di kolam atau tambak. Kolam tersebut selalu dijaga agar bebas dari pencemaran dan jauh dari pusat buangan limbah. Makanan yang diberikan juga merupakan makanan khusus untuk ikan lele. Jadi tetap aman dikonsumsi dan tidak akan menimbulkan masalah pada kesehatan. Kondisi ini jauh berbeda dengan kasus yang terjadi di Tiongkok beberapa waktu yang lalu. Ketika itu muncul aneka keluhan dari masyarakat Provinsi Hainan yang mengalami gangguan kesehatan setelah mengkonsumsi ikan lele. Setelah dilakukan penelusuran ternyata sumber permasalahan ini terletak pada tata kelola dan sistem peternakan ikan lelenya. Kolam yang dipakai untuk memelihara ikan tersebut dipenuhi sampah dengan kandungan merkuri yang sangat tinggi. Selain itu, letaknya berdekatan dengan kandang babi dan ayam. Lebih dari itu, kolam tersebut tidak pernah dibersihkan sama sekali. Kasus yang hampir mirip juga terjadi di Nigeria Afrika. Sebagaimana rilis yang dikeluarkan, sebagian besar ikan lele yang dikonsumsi masyarakat negara tersebut diambil dari sungai. Padahal sungai-sungai tersebut penuh limbah, kotoran dan pencemaran. Akibat dari konsumsi ikan lele ini adalah terjadinya serangkan kanker. Selain itu, juga sering muncul masalah lain misalnya obesitas atau kegemukan badan dan darah jadi kotor. Kotornya aliran darah akan menimbulkan masalah yang lebih serius pada tubuh seperti penyakit ginjal, dan jantung. Munculnya kasus ini juga membuat masyarakat makin tambah yakin bahwa lele mengandung kanker dan tumor. Sistem Pengolahan Ikan Lele Salah satu cara paling populer memasak ikan lele adalah dengan cara digoreng. Banyak yang tidak tahu bahwa teknik penggorengan yang salah dapat menyebabkan lele yang dikonsumsi menjadi sumber munculnya serangan penyakit dan yang paling utama yaitu penyakit kanker. Kesalahan paling fatal yang paling sering terjadi ialah pada penggunaan minyaknya. Minyak yang digunakan untuk menggoreng ikan lele harus bebas dari kandungan kolesterol maupun zat berbahaya lainnya. Meski ikannya dibudidaya dengan cara yang benar dan dibersihkan sebelum dimasak, namun ketika minyak penggorengannya tidak sehat tetap bisa memunculkan serangan penyakit. Dari sini tentu kita menjadi paham jika sumber datangnya penyakit tersebut tidak berasal dari ikan lele sendiri melainkan minyaknya. Intinya, antara ikan lele dan kanker sebetulnya tidak punya hubungan sama sekali. Kesimpulan yang Didapatkan Jadi kesimpulannya, jika dipelihara dengan cara yang benar dan kolamnya selalu bersih serta bebas dari pencemaran maka ikan lele tetap aman dikonsumsi. Demikian pula dengan sistem pengolahannya harus dicuci hingga bersih sebelum dimasak. Beberapa jenis bakteri yang sering ditemukan di tubuh ikan lele adalah salmonella, shigella, hingga ecoli. Keberadaan bakteri bakteri inilah yang membuat ikan lele penyebab kanker dan tumor. Tetapi bila diolah dengan suhu panas yang tepat, bisa dipastikan bakteri tersebut akan mati dengan sendirinya.;Valid
Ikan lele merupakan bahan makanan yang cukup populer di Indonesia. Namun belakangan ini, tersebar kabar bahwa mengonsumsi ikan lele berbahaya bagi kesehatan tubuh. Dikabarkan bahwa satu suapan ikan lele mengandung ratusan bahkan ribuan pemicu sel kanker. Benarkah? Mari kita sedikit mengenal lebih jauh tentang seluk beluk ikan lele. Ikan lele (Clarias spp.) adalah jenis ikan yang hidup di air tawar. Karakteristik lele mudah dikenali dari tubuhnya yang licin, agak pipih memanjang, serta memiliki sesuatu seperti kumis yang panjang, yang mencuat dari sekitar bagian mulutnya Habitat lele umumnya berada di sungai dengan arus yang perlahan, rawa, telaga, waduk, sawah yang tergenang air / berlumpur, got maupun selokan. Kemampuan hidup lele pada lingkungan yang kotor dan tercemar dipengaruhi oleh alat pernafasan tambahan yang berupa labirin yang berfungsi sebagai penyaring kotoran dari lingkungan tempat hidup lele. Ikan lele juga dikenal sebagai ikan yang paling jorok. Hal ini merujuk pada sifat ikan lele yang doyan mengonsumsi segala jenis limbah di perairan tempat ia hidup. Tiap 100 gram daging ikan lele mengandung energi sebesar 229 kilokalori. Kandungan protein dari lele dengan porsi itu sekitar 18 gram, karbohidrat sekitar 8 gram, serat 0,7 gram dan lemak sebesar 13 gram. Ikan lele juga mengandung berbagai vitamin dan mineral seperti vitamin C, vitamin A, vitamin B kompleks, vitamin B12, serta kalsium, magnesium, fosfor, kalium, natrium, dan zinc. Ikan lele juga kaya kandungan vitamin D. Daging ikan lele juga mengandung asam lemak omega 3 sebanyak 220 mg dan omega 6 sebanyak 875 mg serta terdapat kurang lebih 15,6 gram protein pada 1 ekor lele. Nutrisi yang terdapat pada lele ini sangat erat hubungannya dengan pertumbuhan yang baik terutama pada anak-anak yang sedang dalam masa pertumbuhan serta bermanfaat untuk menjaga kesehatan jantung dan otak. Berdasarkan paparan kandungan gizi ikan lele dapat disimpulkan bahwa ternyata ikan lele sangat kaya manfaat bagi tubuh manusia. Lalu mengapa orang harus khawatir untuk mengonsumsi lele? Pada dasarnya lingkungan yang kotorlah yang dapat memicu lele menjadi berbahaya untuk dikonsumsi. Lele yang hidup pada lingkungan air yang kotor berpotensi untuk terpapar senyawa kimia yang berbahaya seperti logam berat dan zat pencemar yang terdapat pada polutan air. Senyawa kimia yang paling berbahaya yang mungkin dapat dikonsumsi lele adalah merkuri. Merkuri (Hg) merupakan senyawa kimia organik yang sangat beracun yang dapat mengacaukan sistem saraf manusia apabila dikonsumsi. Namun kita tidak perlu terlalu khawatir mengenai isu mengenai ikan lele yang konon katanya berpotensi memicu kanker. Ikan lele yang umumnya berada di pasaran bukan merupakan ikan lele yang berasal dari alam liar melainkan adalah ikan lele yang telah dibudidayakan di kolam-kolam dan telah dikendalikan agar bebas dari pencemaran. Pakan yang diberikan pada lele budidaya juga umumnya adalah pakan non-limbah sehingga lele tersebut tidak terpapar senyawa kimia berbahaya. Lele budidaya malah mengandung asam amino yang cukup tinggi. Tingginya kadar asam amino ini sendiri dapat mengurangi resiko kanker jenis tertentu maupun peradangan rheumatoid artritis. Selain itu belum ada penelitian resmi yang menyatakan bahwa memakan lele dapat memicu kanker. Walau demikian kita juga tetap harus berhati-hati terhadap segala sesuatu yang kita konsumsi. Untuk memperoleh manfaat ikan lele sekaligus mencegah resiko, ada baiknya konsumsi ikan lele dibatasi. Selain itu ada baiknya asupan ikan dari jenis lain lebih divariasikan agar kecukupan gizi dari komoditas ikan dapat lebih terpenuhi. Satu hal yang tak kalah penting untuk mengonsumsi lele adalah dengan memasak lele dengan cara yang tepat dan menyehatkan agar lele yang kita santap benar-benar baik, halal dan bermanfaat bagi tubuh kita.;Valid
"""Dalam sesuap daging ikan lele, terkandung 3.000 sel kanker"". Judul artikel tersebut beberapa hari terakhir menjadi pembicaraan hangat di media sosial.  Namun bagi pembudidaya lele, artikel tersebut dianggap mengancam kelangsungan usaha mereka. Dinas Perikanan dan Kelautan Jawa Timur, menampung keluhan para pelaku bisnis budidaya lele di Jawa Timur yang tersinggung atas beredarnya artikel tersebut. ""Artikel tersebut adalah kampanye hitam untuk menjatuhkan penjualan pasar lele yang prospek pasarnya terus membaik,"" kata Kepala Dinas Perikanan dan Kelautan Jawa Timur, Rabu (28/10/2015).  Dia khawatir, artikel yang sebenarnya menggambarkan sebuah budidaya lele di Kota Haikou, China itu berdampak pada pasar lele di Jatim. Menurut dia, konsumen lele adalah konsumen ikan di level II. Di level I adalah konsumen ikan kelas atas seperti tuna, kakap, kerapu, dan sebagainya.  ""Konsumen kelas I tidak akan goyah dengan tersebarnya isu apa pun, tapi untuk konsumen kelas II, ini masih rentan digoyang isu. Bisa-bisa mereka tidak lagi mengonsumsi lele karena takut,"" ujar dia.  Heru menyebut, Jatim adalah produsen lele terbesar secara nasional. Dari ratusan pembudidaya lele, dalam tiga tahun terakhir, produksi lele di Jatim terus meningkat.  Pada 2012 tercatat produksi sebesar 62.807 ton, naik pada 2013 menjadi 79.928 ton, sementara pada 2014 terus naik menjadi 96.830 ton.  Sepanjang produksi 2014, 2.000 ton di antaranya diekspor ke luar negeri.  Produksi lele di Jatim kata Heru diproduksi secara sehat sesuai standar Cara Budidaya Ikan yang Baik (CBIB) sebagaimana yang diatur Pemerintah dalam Keputusan Menteri Nomor 02/Men/2007.  ""CBIB mensyaratkan pakan budidaya Lele dengan pakan yang sehat yang menitikberatkan pada kesehatan dan keamanan pangan,"" kata dia.  Secara berkala, Dinas Perikanan dan Kelautan Jawa Timur juga melakukan monitoring residu pada komoditas lele secara sampling.  Tahun ini ada 379 sampel yang diambil dari berbagai daerah produsen lele seperti Sidoarjo, Mojokerto, Kediri, dan Tulungagung.  ""Hasilnya, komoditas lele yang diuji bebas dari residu hormone, antibiotik, dan logam berat,"" kata dia.  Heru curiga, isu tentang lele tersebut sengaja dihembuskan pihak tertentu untuk kepentingan bisnis ikan jelang pasar bebas MEA 2015. ""Ada pihak yang ingin merebut pasar lele dan menggantikannya dengan komoditas ikan lain,"" kata dia.  Artikel soal kandungan sel kanker diunggah di sejumlah website. Artikel tersebut juga sempat dikuti sejumlah media online sebagai bahan diskusi.   Artikel yang di-posting pada 29 Juli 2015 itu mengurai pengakuan peternak lele dari Tiongkok bernama Zhang Ri-hong, pemasok lele ke pasar dan rumah makan di pinggir jalan di Provinsi Hainan. Media lalu menelusuri tentang ikan tersebut dengan mengamati tujuh sampel  kolam produsen lele.  Ketujuh kolam tersebut dikelilingi kandang ayam dan babi, sedangkan di tengah tambak tersebut terdapat banyak tumpukan sampah. Para peternak ikan tersebut diimbau menangguhkan penjualan lele, sebelum hasil tesnya keluar.";Hoax
"Bahaya Mengkonsumsi Ikan Lele Yang Mengandung Sel Kanker - Lele adalah sejenis ikan yang hidup di air tawar. Ikan lele mudah dikenali karena tubuhnya yang licin, agak pipih memanjang, serta memiliki ""kumis"" yang panjang, yang mencuat dari sekitar bagian mulutnya. Ikan lele merupakan salah satu menu makanan favorit dan bahkan di setiap warung makan selalu tersedia menu ini, karena harganya yang cukup murah dan rasanya yang enak menjadi daya tarik tersendiri bagi ikan yang satu ini. Meskipun enak dan murah, ikan lele paling kotor di antara jenis ikan lainnya yang sering dikonsumsi oleh manusia. Mengapa demikian? Hal tersebut dikarenakan, lele merupakan jenis ikan yang mudah berkembang biak di tempat-tempat yang kotor. Lele merupakan jenis ikan yang mudah berkembang biak di tempat-tempat yang kotor karena ikan ini mengkonsumsi limbah berupa kotoran hewan seperti ayam, sapi, dan babi, bahkan ikan ini juga dapat mengkonsumsi kotoran manusia. Sehingga dapat dimungkinkan bahwa dalam tubuh ikan lele mengandung tiga ribu sel kanker yang sangat berbahaya bagi tubuh manusia. Ikan lele mengandung sel kanker, Kabar ikan lele mengandung 3.000 sel kanker muncul pertama kali di Tiongkok. Sebuah artikel yang menyebutkan ikan lele kotor dan jorok menjadi viral di media sosial. Artikel itu menyebutkan bahwa kotoran manusia juga dijadikan pakan di sebuah tempat budidaya ikan lele di Kota Haikou, China. Kendati demikian, penikmat ikan lele diminta untuk tidak terpengaruh dengan informasi tersebut. Pasalnya, ikan lele di Indonesia berbeda dengan Tiongkok. Terlepas dari semua itu, adakah manfaat ikan lele untuk kesehatan ? ternyata ikan yang satu ini selain enak juga mengandung beberapa zat yang baik bagi kesehatan tubuh manusia. Kandungan yang terdapat pada ikan lele, Selain daging yang gurih ternyata daging lele terdapat banyak kandungan gizinya. Berikut nilai gizi Lele 100 gram,bagian ikan yang dapat di makan dan ikan segar (FAO,1972) Macam zat gizi Bag. Ikan yang dapat dimakan Ikan segar utuh. 1 Kadar air (%) 78,5 47,1 Sumber energy (cal.) 90 54, Protein (gr) 18,7 11,2 Lemak (gr) 1,1 0,7 Kalsium (Ca) (mgr) 15 9 Phosphor (P) (mgr) 260 156 Zat besi (Fe) (mgr) 2 1,2 Natrium (mgr) 150 90 Thiamine (vit B1) (mgr) 0,10 0,06 Riboflavin (vit B2) (mgr) 0,05 0,03 Niacin (mgr) 2,0 1,2 Dari data diatas dapat disimpulkan, bahwa ikan lele mengandung protein yang tinggi dan zat penguat tulang (kalsium) yang baik untuk dimakan. Selain itu ikan lele juga mengandung mineral lain yang penting pula untuk kesehatan tubuh (Djatmiko Hertami,1986) Nah demikian beberapa informasi mengenai ikan lele yang berada di Tiongkok, namun di Indonesia ikan ini telah dibudidayakan dengan baik oleh para peternak ikan lele dan mereka menggunakan pellet sebagai makanannya bukan menggunakan limbah yang sangat berbahaya bagi kesehatan tubuh manusia. Sehingga mengkonsumsi ikan lele di Indonesia tidak perlu diragukan kebersihannya, namun sebagai konsumen yang bijak kita harus tetap waspada dengan kandungan ikan ini dan tidak perlu mengkonsumsi ikan lele dalam jumlah yang besar secara rutin karena dapat mengganggu kesehatan kita.";Hoax
Di jejaring sosial, banyak beredar informasi yang menyebut lele sebagai ikan paling jorok. Dalam sesuap daging ikan lele, terkandung 3.000 sel kanker. Julukan sebagai ikan paling jorok merujuk pada sifat lele yang doyan mengonsumsi segala jenis limbah di perairan. Bahkan sebuah artikel yang cukup viral di internet menyebutkan kotoran manusia juga dijadikan pakan pada sebuah budidaya lele di Kota Haikou, China. Ikan ini dilengkapi alat pernapasan tambahan berupa labirin, sehingga mampu bertahan hidup dalam kondisi perairan berlumpur atau bahkan tercemar. Agaknya, hal inilah yang memunculkan dugaan soal akumulasi racun karsinogen (penyebab kanker) di tubuh ikan lele. Investigasi: Ikan lele yang beredar di pasaran bukan berasal dari alam liar. Lele banyak dibudidayakan di kolam-kolam, yang mestinya bisa dikendalikan agar bebas dari pencemaran. Pakan yang diberikan juga bisa dipilih, tidak harus mengandalkan limbah. Jumlah produksi lele juga terus meningkat setiap tahunnya. Data Kementerian Kelautan dan Perikanan (KKP) menyebut produksi lele pada 2013 mencapai 543,461 ton, meningkat dari 441,217 ton pada 2012 dan 337,577 ton pada 2011. Konsumsi ikan lele menurut Badan Pusat Statistik (BPS) tercatat 29,98 kg / kapita / tahun, naik dari 22,58 kg / kapita / tahun pada 2004. Di Jakarta, tak kurang dari 6.000 lapak pecel lele telah terdaftar di Asosiasi Pedagang Kaki Lima Indonesia (APKLI). Soal kandungan nutrisi, tak bisa dipungkiri bahwa lele adalah sumber protein berharga yang murah meriah. Fakta bahwa ikan lele juga rendah kolesterol sepertinya bakal menenggelamkan tudingan bahwa lele bisa memicu kanker. dr Dradjat R Suardi, SpB(K)Onk, ahli kanker dari Perhimpunan Onkologi Indonesia mengatakan hingga saat ini belum ada penelitian yang menyatakan jika memakan lele dapat memicu kanker.;Hoax
Jakarta, Sebuah artikel yang cukup viral di internet menyebut bahwa ikan lele mengandung 3.000 sel kanker. Banyak yang membantah, sebab faktanya lele justru mengandung banyak nutrisi penting. Kandungan gizi yang ada dalam ikan lele antara lain protein dan asam lemak omega tiga, yang disebut-sebut setara dengan ikan salmon. Mengingat banyaknya kandungan gizi dalam ikan lele, maka hubungan antara lele dengan risiko kanker banyak dipertanyakan.  Berbeda jika menggunakan minyak yang digunakan berkali-kali, bisa jadi memicu kanker. Namun itu bukan dari ikan melainkan dari minyaknya tersebut, kata dr Dradjat R Suardi, SpB(K)Onk, ahli kanker dari Perhimpunan Onkologi Indonesia saat dihubungi detikHealth, Jumat (23/10/2015).  Hubungan antara minyak yang dipakai berkali-kali dengan risiko kanker itu sendiri masih bisa diperdebatkan. Selama ini, minyak trans yang terbentuk akibat pemanasan berulang lebih sering dikaitkan dengan risiko penyakit jantung dan pembuluh darah.  Tudingan bahwa lele bisa memicu kanker didasarkan pada sifat ikan tersebut yang doyan mengonsumsi limbah. Juga karena mampu bertahan hidup di perairan berlumpur serta tercemar, maka muncul anggapan racun karsinogen banyak terkandung dalam ikan ini.  Saat ini belum ada penelitian yang menyatakan jika memakan lele dapat memicu kanker,  tegas dr Dradjat.;Valid
Pada dasarnya tidak ada makanan yang membawa sel kanker, pakar kanker dunia sepakat bahwa sel-sel sehat dalam tubuhlah yang berubah menjadi sel kanker karena efek kondisi dalam tubuh akibat pengaruh sejumlah hal seperti makanan yang memiliki efek karsinogen. Perubahan terjadi bertahap, biasanya diawali dari kerusakan sel sehat yang kemudian berkembang dengan regenerasi sel yang menyimpang.  Jadi memang tidak tepat bila dikatakan ikan lele membawa sel kanker dalam tubuhnya. Bilapun ikan lele memiliki efek meningkatkan risiko kanker, besar kemungkinan karena ada efek karsinogen yang dibawa oleh ikan. Sejumlah kecurigaan datang dari bagaimana ikan lele hidup, baik dalam alam liar maupun dalam kolam pemeliharaan. Karena lele memiliki daya tahan sangat baik terhadap lingkungan yang kotor, bahkan lingkungan tercemar. Mereka kadang dipelihara dengan diberikan makanan limbah yang dikhawatirkan menjadi pembawa efek karsinogen pada daging ikan. Salah satu sumber yang kemudian berkembang menjadi viral adalah pemberitaan penolakan Amerika terhadap ikan lele asal Cina. Sayangnya pemberitaan yang sampai di Indonesia tidak menyajikan berita yang sebenarnya. Sementara di Indonesia pemberitaan mengangkat mengenai pola pemeliharaan dengan pemberian pakan kotoran babi, sebenarnya menurut sumber abcnews.go.com , penolakan Amerika Serikat berdasarkan temuan lapangan bahwa ikan lele asal Cina mengandung senyawa anti fungal, anti bakteri, dan jenis klorin yang dianggap berbahaya dan bersifat karsinogen. Ini justru menandakan bahwa perikanan di Cina demikian modern hingga memberikan sejumlah senyawa kimia dalam takaran yang tidak seharusnya pada kolam mereka. Juga menggugurkan informasi bahwa ikan lele asal Cina ditolak akibat pemberian makan kotoran babi.;Valid
